Device: Tesla V100-SXM2-32GB
Transfer size (MB): 64
Single Precision
Offset, Bandwidth (GB/s):
0, 722.543396
1, 714.285767
2, 718.390808
3, 722.543396
4, 718.390808
5, 718.390808
6, 718.390808
7, 718.390808
8, 722.543396
9, 722.543396
10, 710.227295
11, 718.390808
12, 718.390808
13, 718.390808
14, 714.285767
15, 718.390808
16, 718.390808
17, 714.285767
18, 714.285767
19, 714.285767
20, 710.227295
21, 710.227295
22, 714.285767
23, 710.227295
24, 714.285767
25, 714.285767
26, 710.227295
27, 714.285767
28, 714.285767
29, 718.390808
30, 710.227295
31, 714.285767
32, 722.543396

Stride, Bandwidth (GB/s):
1, 722.543396
2, 377.643524
3, 257.731964
4, 166.889191
5, 127.681305
6, 105.663567
7, 89.158348
8, 76.034065
9, 66.595634
10, 58.575447
11, 56.663643
12, 52.410900
13, 48.506012
14, 45.821114
15, 43.584381
16, 45.273449
17, 41.390728
18, 41.778076
19, 38.461536
20, 37.191311
21, 41.500664
22, 40.769733
23, 39.707752
24, 40.453075
25, 41.555851
26, 41.281372
27, 38.783741
28, 39.783577
29, 38.759689
30, 39.258793
31, 39.469532
32, 41.077885
